"9,22795; 1991; Jan Average; Morocco; MAR";9,22795;Jan Average;Morocco;Mar
"73,5682; 1991; Feb Average; Morocco; MAR";73,5682;Feb Average;Morocco;Mar
"74,2531; 1991; Mar Average; Morocco; MAR";74,2531;Mar Average;Morocco;Mar
"18,4824; 1991; Apr Average; Morocco; MAR";18,4824;Apr Average;Morocco;Mar
"8,33914; 1991; May Average; Morocco; MAR";8,33914;May Average;Morocco;Mar
"7,27778; 1991; Jun Average; Morocco; MAR";7,27778;Jun Average;Morocco;Mar
"6,16133; 1991; Jul Average; Morocco; MAR";6,16133;Jul Average;Morocco;Mar
"11,3263; 1991; Aug Average; Morocco; MAR";11,3263;Aug Average;Morocco;Mar
"32,9632; 1991; Sep Average; Morocco; MAR";32,9632;Sep Average;Morocco;Mar
"33,6597; 1991; Oct Average; Morocco; MAR";33,6597;Oct Average;Morocco;Mar
"12,6899; 1991; Nov Average; Morocco; MAR";12,6899;Nov Average;Morocco;Mar
"39,5901; 1991; Dec Average; Morocco; MAR";39,5901;Dec Average;Morocco;Mar
"4,44635; 1992; Jan Average; Morocco; MAR";4,44635;Jan Average;Morocco;Mar
"48,4604; 1992; Feb Average; Morocco; MAR";48,4604;Feb Average;Morocco;Mar
"48,5844; 1992; Mar Average; Morocco; MAR";48,5844;Mar Average;Morocco;Mar
"33,946; 1992; Apr Average; Morocco; MAR";33,946;Apr Average;Morocco;Mar
"28,8944; 1992; May Average; Morocco; MAR";28,8944;May Average;Morocco;Mar
"21,5739; 1992; Jun Average; Morocco; MAR";21,5739;Jun Average;Morocco;Mar
"4,64873; 1992; Jul Average; Morocco; MAR";4,64873;Jul Average;Morocco;Mar
"4,73702; 1992; Aug Average; Morocco; MAR";4,73702;Aug Average;Morocco;Mar
"2,56213; 1992; Sep Average; Morocco; MAR";2,56213;Sep Average;Morocco;Mar
"19,98; 1992; Oct Average; Morocco; MAR";19,98;Oct Average;Morocco;Mar
"12,836; 1992; Nov Average; Morocco; MAR";12,836;Nov Average;Morocco;Mar
"33,6225; 1992; Dec Average; Morocco; MAR";33,6225;Dec Average;Morocco;Mar
"21,3244; 1993; Jan Average; Morocco; MAR";21,3244;Jan Average;Morocco;Mar
"33,7803; 1993; Feb Average; Morocco; MAR";33,7803;Feb Average;Morocco;Mar
"37,6345; 1993; Mar Average; Morocco; MAR";37,6345;Mar Average;Morocco;Mar
"25,2737; 1993; Apr Average; Morocco; MAR";25,2737;Apr Average;Morocco;Mar
"18,0859; 1993; May Average; Morocco; MAR";18,0859;May Average;Morocco;Mar
"1,62698; 1993; Jun Average; Morocco; MAR";1,62698;Jun Average;Morocco;Mar
"2,66366; 1993; Jul Average; Morocco; MAR";2,66366;Jul Average;Morocco;Mar
"2,10097; 1993; Aug Average; Morocco; MAR";2,10097;Aug Average;Morocco;Mar
"6,52834; 1993; Sep Average; Morocco; MAR";6,52834;Sep Average;Morocco;Mar
"35,3821; 1993; Oct Average; Morocco; MAR";35,3821;Oct Average;Morocco;Mar
"66,7198; 1993; Nov Average; Morocco; MAR";66,7198;Nov Average;Morocco;Mar
"15,9262; 1993; Dec Average; Morocco; MAR";15,9262;Dec Average;Morocco;Mar
"44,7506; 1994; Jan Average; Morocco; MAR";44,7506;Jan Average;Morocco;Mar
"51,2213; 1994; Feb Average; Morocco; MAR";51,2213;Feb Average;Morocco;Mar
