Annee;precipitation ;temperature ;indice 
2000;"18,8486475";"18,10995833";"0,670532744"
2001;"17,50161833";"18,620175";"0,611513323"
2002;"28,34163";"18,27086667";"1,002503048"
2003;"28,92968083";"18,42920167";"1,017604405"
2004;"23,7994125";"18,05962167";"0,848172965"
2005;"18,51476083";"18,18865";"0,656816159"
2006;"27,76482083";"18,48713083";"0,97464434"
2007;"19,353615";"18,10248167";"0,688679926"
2008;"29,04085667";"18,09303917";"1,033738518"
2009;"29,373525";"18,643265";"1,025494999"
2010;"37,25467167";"18,92773333";"1,287853121"
2011;"29,7017725";"18,46373333";"1,043495319"
2012;"26,32908833";"18,36704833";"0,928157488"
2013;"21,258385";"18,11501667";"0,756122084"
2014;"25,09672333";"18,48674167";"0,880996627"
2015;"17,995385";"18,565735";"0,629964011"
2016;"23,73915667";"18,770575";"0,825119299"
